1	zorgmal olle erinnerungen
2	brauch er in pulli
3	steimeerinnerung für heidung virenamidock ei
5	erinnern mih zu tanken
6	brauch er mitwuch ein ringschim
8	machergeburtssoxserinnerungen führen marx
9	zorgmar olle erinnerungen
10	zorg ollyvicker
11	wer zeit ringer
12	steyern wicker für achdehende frie
13	weissend die temperatur heit
14	sorg mei erinnerung
15	zorg olleviker
16	er innerm mihm mit benne ber chorga zu rehen
17	steiern weker für fünfinder frieer
18	isheid bewirkt
19	wifuintces ring gringmerheit
20	erinnert mie mein schwester mongozunruffer
21	stoppan wicker
22	wirst die buch hoas
23	steien viger für dreinamedok
24	werzeit schnein
25	lösch alle wiger
26	zorg man meine erinnerungen
28	was hopby für erinnerungen
29	steime an täglichen wicker für acht in der frier
30	konnst du mir die wickeruzan
31	ererwartet des neveal hit quiter
32	werzeit sch nein
33	zorkolevika
34	ist e shit coyd
35	löschpitte den wiger für diensteginder friee
36	berzeit ringer
37	schneizin kanada
38	was wird hei das hoch sei
39	schneizet nachtgnur am reisen querlichzu machen
40	zork olleyerinnerungen
42	brauchen mange jacken
45	zorgma ollevike
46	wir sind sweder in jellauston
47	wir sind sweder heid
49	erinner mie morgen zu derrazaden arztermine auszumachen
50	erinner mide mite abzusetzen
51	wann härtde ring auf
52	lösch die wicker
53	erinner mit stefan irem dienstock ozum rhfahr
54	zorg ollymeine vicker
55	wie hos wir zeit
56	steiern wicker für fünfwehaidof nacht
57	erinnermi am ornerzwanzigsten august um drei namedork zum duktor zum g
59	wann sockte weder vorher sage as nächste meyringo
60	um welcher zeit ist maivicker mangende friek steht
107	erinnermiet blermy für jan für und seinen jahrestag am achtrzwanzigsten zum hun
158	welch ain die alarmisunk steht
171	erinnermielt die arbeits ihm als hidof nach zum beantworten
336	idet gerner basserie für drei leit in den niederländischen antilenburher
