1	Zoag ma olle Erinnerungen
2	Brauch i an Pulli?
3	Stei ma a Erinnerung füa heid um viere nammiddog ei
5	Erinner mi zu tankn.
6	Brauch i am Mittwoch an Regnschirm?
8	Mach a Geburtstagserinnerung füa n Max
9	Zoag ma olle Erinnerungen
10	Zoag alle Wegga.
11	Werds heid regna?
12	Stei an Wegga füa achte in der fria
13	Wia is n de Temperatur heid?
14	Zoag mei Erinnerung
15	Zoag alle Wegga
16	Erinner mi mit Ben über Georgia zu redn
17	Stei an Wegga füa 5 in da fria
18	Is heid bewölkt?
19	Wia vui Inches Regen griagn ma heid?
20	Erinner mi mei Schwesta moang ozumruafa
21	Stopp an Wegga
22	Wirds de Woch hoas?
23	Stei an Wegga füa 3 nammidog.
24	Werds heid schnein?
25	Lösch alle Wegga
26	Zoag ma meine Erinnerungen
28	Wos hob i füa Erinnerungen?
29	Stei ma an täglichen Wegga füa achte in da fria
30	Konnst du mia de Wegga ozoagn?
31	Erwartet Disney World heid Gewitter?
32	Werds heid schnein?
33	Zoag alle Wegga
34	Is es heid koid?
35	Lösch bitte den Wegga für Dienstag in da fria.
36	Werds heid regna?
37	Schneits in Kanada?
38	Wos wird heid as Hoch sei?
39	Schneits heid Nacht gnua um Reisen gfährlich zum macha?
40	Zoag alle Erinnerungen
42	Brauch i moang a Jackn?
45	Zoag ma olle Wegga
46	Wia isn s Weda in yellowstone?
47	Wia isn s Weda heid?
49	Erinner mi moang zu dera Zeit an Arzttermin auszumachen
50	Erinner mi de Miete abzusetzen
51	Wann heard da Regn auf?
52	lösch de Wegga
53	Erinner mi d Stephanie am Dienstag ozumruafa
54	Zoag alle meine Wegga
55	Wia hoaß wirds heid?
56	Stei an Wegga fia fünfe heid auf Nacht
57	Erinner mi am 21. August um 3 nammiddog zum Dokta zum geh
59	Wann sogt de Wettervorhersage as nächste Moi Regn o?
60	Um weicha Zeit is mei Wegga moang in da fria gsteid?
107	Erinner mi Bleame füa Jen für unsan Jahrestag am 28. zum hoin.
158	Weichane Alarme san gsteid?
171	Erinner mi de Arbeitsemails heid auf Nacht zum beantwortn
336	I dad gern a Brasserie für 3 Leid in Niederlande Antilles buacha.
