1	Zeige alle Erinnerungen
2	Benötige ich einen Pullover?
3	Eine Erinnerung für heute um 4 Uhr nachmittags hinzufügen
5	Erinnere mich Gas zu kaufen.
6	Benötige ich am Mittwoch einen Regenschirm?
8	erstelle eine Geburtstagserinnerung für max
9	Zeig mir alle Erinnerungen
10	Zeige alle Wecker.
11	Regnet es heute?
12	Stelle den Wecker auf 8:00 Uhr ein
13	Wie ist die Temperatur heute?
14	Zeige meine Erinnerung
15	Alle Wecker anzeigen
16	Erinnere mich mit Ben über Georgia zu reden
17	Erstelle einen Wecker für 5 Uhr morgens
18	ist es heute bewölkt
19	Wie viele Millimeter Regen werden wir heute bekommen?
20	Erinnere mich, morgen meine Schwester anzurufen
21	schalte Wecker aus
22	Wird es diese Woche heiß?
23	Erstelle einen Wecker für 3 Uhr nachmittags.
24	wird es heute schneien
25	entferne alle Wecker
26	Zeig mir meine Erinnerungen
28	Was sind meine Erinnerungen?
29	Erstelle einen täglichen Wecker für 8 Uhr morgens
30	kannst du mir die Wecker anzeigen?
31	Erwartet Disney World heute Stürme?
32	wird es heute schneien
33	zeige alle Wecker
34	Ist es heute kalt?
35	Bitte lösche den Wecker für Donnerstagmorgen.
36	Regnet es heute?
37	schneit es in kanada
38	Was wird die Höchsttemperatur heute?
39	Wird es heute Nacht genug schneien, um das Reisen gefährlich zu machen?
40	Zeige alle Erinnerungen
42	brauche ich morgen eine Jacke?
45	Zeige alle Wecker an
46	Wie ist das Wetter in Yellowstone?
47	wie ist das Wetter heute?
49	Erinnere mich morgen zu dieser Zeit einen Arzttermin zu vereinbaren
50	Erinnere mich, die Miete abzugeben
51	wann wir es aufhören zu regnen?
52	Wecker löschen
53	Erinnere mich Stephanie am Dienstag anzurufen
54	zeige mir alle meine Weckzeiten
55	Wie heiß wird es heute?
56	Setze einen Wecker für 17 Uhr heute Abend
57	erinnere mich daran, am 21. August um 15 Uhr zum Arzt zu gehen
59	Wann zeigt die Wettervorhersage den nächsten Regen an?
60	Wann ist mein Wecker für morgen früh eingestellt?
107	Erinnere mich für Jen die Blumen abzuholen für unseren Jahrestag am 28.
158	Welche Wecker sind eingestellt?
171	Erinnere mich die Arbeitsemails heute Abend zu beantworten
336	Ich möchte eine Brasserie für 3 Personen auf den Niederländischen Antillen buchen .
