1	show all reminders
2	Do I need a sweater?
3	Add a reminder for today at 4pm
5	Remind me to get gas.
6	Do I need an umbrella on Wednesday?
8	set a birthday reminder for max
9	Show me all reminders
10	Show all alarms.
11	Is it going to rain today?
12	Set alarm for 8am
13	What is the temperature today?
14	Show my reminder
15	Show all alarms
16	Remind me to talk to Ben about Georgia
17	Set alarm for 5 am
18	is it cloudy today
19	How many inches of rain will we get today?
20	Remind me to call my sister tomorrow
21	stop alarm
22	Is it going to be hot this week?
23	Set alarm for 3pm.
24	will it snow today
25	delete all alarms
26	Show me my reminders
28	What are my reminders?
29	Set an alarm for 8am daily
30	can you show me the alarms?
31	Is Disney world expecting storms today?
32	will it snow today
33	show all alarms
34	Is it cold today?
35	Please cancel the alarm for Thursday morning.
36	Is it going to rain today?
37	is it snowing in canada
38	What will the high be today?
39	Will it snow enough tonight to make travelling hazardous?
40	show all reminders
42	will i need a jacket tomorrow?
45	Show me all the alarms
46	What's the weather like in yellowstone?
47	What's the weather like today?
49	Remind me tomorrow at this time to schedule a doctor appointment
50	Remind me to drop off rent
51	when will the rain end?
52	cancel alarms
53	Remind me to call Stephanie on Tuesday
54	show all my alarms
55	How hot will it get today?
56	Set alarm for 5 pm tonight
57	remind me to go to the doctors on august 21st 3 pm
59	when does the forecast next show rain
60	What time is my alarm set for tomorrow morning?
107	Remind me to pick up flowers for Jen for our anniversary on the 28th.
158	What alarms are set?
171	Remind me to reply to work emails tonight
336	I want to book a brasserie for 3 people in Netherlands Antilles .
